NAME,B11001_001E,state,county,tract,GEOID,year
"Census Tract 19.04, Bronx County, New York",0,36,005,001904,36005001904,2021
"Census Tract 83, Bronx County, New York",2270,36,005,008300,36005008300,2021
"Census Tract 85, Bronx County, New York",2142,36,005,008500,36005008500,2021
"Census Tract 87, Bronx County, New York",2038,36,005,008700,36005008700,2021
"Census Tract 89, Bronx County, New York",1227,36,005,008900,36005008900,2021
"Census Tract 93.01, Bronx County, New York",1773,36,005,009301,36005009301,2021
"Census Tract 93.02, Bronx County, New York",0,36,005,009302,36005009302,2021
"Census Tract 115.02, Bronx County, New York",1377,36,005,011502,36005011502,2021
"Census Tract 117.01, Bronx County, New York",499,36,005,011701,36005011701,2021
"Census Tract 117.02, Bronx County, New York",0,36,005,011702,36005011702,2021
"Census Tract 119, Bronx County, New York",1942,36,005,011900,36005011900,2021
"Census Tract 121.02, Bronx County, New York",580,36,005,012102,36005012102,2021
"Census Tract 127.01, Bronx County, New York",756,36,005,012701,36005012701,2021
"Census Tract 129.01, Bronx County, New York",1649,36,005,012901,36005012901,2021
"Census Tract 131, Bronx County, New York",2080,36,005,013100,36005013100,2021
"Census Tract 159, Bronx County, New York",816,36,005,015900,36005015900,2021
